ts,cpu_total,cpu_max_core,ram_used_gb,cpu_server_pct,cpu_client_pct,gpu0_util,gpu0_memutil,gpu0_mem_mib,gpu0_power_w,gpu1_util,gpu1_memutil,gpu1_mem_mib,gpu1_power_w,gpu2_util,gpu2_memutil,gpu2_mem_mib,gpu2_power_w,gpu3_util,gpu3_memutil,gpu3_mem_mib,gpu3_power_w
1785522001.733,3.8,100.0,89.82,6.0,101.0,0,0,43831,114.95,0,0,43831,112.87,0,0,3,35.52,0,0,3,33.75
1785522002.733,4.3,100.0,89.67,96.0,42.0,100,32,43831,130.40,100,32,43831,129.20,0,0,3,35.52,0,0,3,33.80
1785522003.733,5.7,100.0,89.65,237.0,4.0,86,73,43831,244.19,94,73,43831,230.42,0,0,3,35.57,0,0,3,33.80
1785522004.733,5.9,100.0,89.66,261.0,11.0,87,73,43831,220.30,94,73,43831,215.44,0,0,3,35.57,0,0,3,33.74
1785522005.733,7.1,100.0,89.58,257.0,13.0,88,74,43831,222.34,93,72,43831,215.54,0,0,3,35.51,0,0,3,33.79
1785522006.734,6.6,100.0,89.57,259.0,11.0,87,73,43831,221.50,94,74,43831,217.62,0,0,3,35.51,0,0,3,33.84
1785522007.734,6.0,100.0,89.56,250.0,13.0,88,74,43831,223.11,95,74,43831,215.73,0,0,3,35.51,0,0,3,33.84
1785522008.734,6.1,100.0,89.52,257.0,12.0,88,75,43831,224.27,94,73,43831,217.38,0,0,3,35.61,0,0,3,33.84
1785522009.734,7.8,100.0,89.49,242.0,11.0,0,0,43831,195.30,0,0,43831,198.42,0,0,3,35.70,0,0,3,33.78
1785522010.734,6.3,100.0,89.47,218.1,0.0,85,86,43831,165.33,94,86,43831,167.86,0,0,3,35.61,0,0,3,33.79
1785522011.734,5.7,100.0,89.48,245.8,2.0,88,70,43831,230.71,95,73,43831,230.52,0,0,3,35.51,0,0,3,33.85
1785522012.734,6.4,100.0,89.42,249.2,3.0,84,85,43831,234.02,94,85,43831,227.62,0,0,3,35.51,0,0,3,33.79
1785522013.734,5.8,100.0,89.38,249.0,3.0,85,85,43831,236.93,95,87,43831,225.35,0,0,3,35.51,0,0,3,33.79
1785522014.734,6.1,100.0,89.38,248.0,3.0,84,84,43831,234.82,93,84,43831,228.99,0,0,3,35.56,0,0,3,33.74
1785522015.734,6.3,100.0,89.36,248.0,4.0,84,85,43831,231.78,95,87,43831,226.50,0,0,3,35.61,0,0,3,33.74
1785522016.735,6.6,100.0,89.34,244.0,1.0,84,84,43831,235.99,94,85,43831,226.82,0,0,3,35.51,0,0,3,33.83
1785522017.735,6.4,100.0,89.33,251.0,2.0,83,83,43831,234.14,92,78,43831,228.66,0,0,3,35.46,0,0,3,33.83
1785522018.735,6.3,100.0,89.31,252.0,4.0,86,82,43831,232.27,95,73,43831,227.56,0,0,3,35.51,0,0,3,33.83
