ts,cpu_total,cpu_max_core,ram_used_gb,cpu_server_pct,cpu_client_pct,gpu0_util,gpu0_memutil,gpu0_mem_mib,gpu0_power_w,gpu1_util,gpu1_memutil,gpu1_mem_mib,gpu1_power_w,gpu2_util,gpu2_memutil,gpu2_mem_mib,gpu2_power_w,gpu3_util,gpu3_memutil,gpu3_mem_mib,gpu3_power_w
1785713325.884,2.1,85.0,24.72,16.0,0.0,0,0,0,31.99,0,0,0,30.80,0,0,0,30.42,0,0,0,30.71
1785713326.884,1.9,100.0,24.72,15.0,0.0,0,0,0,32.04,0,0,0,30.84,0,0,0,30.47,0,0,0,30.61
1785713327.884,2.1,93.0,24.71,13.0,0.0,0,0,0,32.04,0,0,0,30.79,0,0,0,30.41,0,0,0,30.65
1785713328.884,1.9,100.0,24.70,13.0,0.0,0,0,0,32.04,0,0,0,30.74,0,0,0,30.36,0,0,0,30.76
1785713329.884,2.5,100.0,24.70,15.0,0.0,0,0,0,31.99,0,0,0,30.74,0,0,0,30.47,0,0,0,30.71
1785713330.884,2.2,100.0,24.70,14.0,0.0,0,0,0,31.99,0,0,0,30.75,0,0,0,30.47,0,0,0,30.61
1785713331.885,2.3,83.8,24.70,12.0,0.0,0,0,0,32.04,0,0,0,30.80,0,0,0,30.47,0,0,0,30.65
1785713332.885,1.8,100.0,24.69,18.0,0.0,0,0,0,31.99,0,0,0,30.80,0,0,0,30.52,0,0,0,30.71
1785713333.885,2.2,92.0,24.69,35.0,0.0,0,0,0,32.04,0,0,0,30.79,0,0,0,30.51,0,0,0,30.66
1785713334.885,1.8,100.0,24.69,14.0,0.0,0,0,0,32.09,0,0,0,30.84,0,0,0,30.51,0,0,0,30.66
1785713335.885,2.0,100.0,24.70,18.0,0.0,0,0,0,31.99,0,0,0,30.84,0,0,0,30.52,0,0,0,30.66
1785713336.885,6.2,100.0,24.71,356.1,0.0,0,0,0,31.94,0,0,0,30.84,0,0,0,30.57,0,0,0,30.66
1785713337.885,2.3,82.0,24.73,20.0,0.0,0,0,0,31.99,0,0,0,30.89,0,0,0,30.62,0,0,0,30.60
